"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DIVISLAB","EQ","01-Jan-2025","6,098.80","6,090.00","6,135.10","6,060.70","6,075.00","6,073.00","6,080.87","1,16,675","70,94,85,960.70","19,581","60,992","52.28"
"DIVISLAB","EQ","02-Jan-2025","6,073.00","6,073.00","6,154.75","6,010.00","6,130.00","6,144.75","6,090.56","1,80,792","1,10,11,25,109.85","30,403","98,562","54.52"
"DIVISLAB","EQ","03-Jan-2025","6,144.75","6,159.00","6,248.90","6,030.15","6,042.00","6,048.30","6,112.63","4,27,384","2,61,24,39,067.00","64,606","2,46,954","57.78"
"DIVISLAB","EQ","06-Jan-2025","6,048.30","6,068.20","6,068.20","5,841.00","5,860.20","5,891.65","5,901.58","3,34,922","1,97,65,70,147.15","60,064","1,86,625","55.72"
"DIVISLAB","EQ","07-Jan-2025","5,891.65","5,910.00","5,936.95","5,875.00","5,920.00","5,907.95","5,907.01","3,03,309","1,79,16,48,481.70","33,639","1,84,260","60.75"
"DIVISLAB","EQ","08-Jan-2025","5,907.95","5,930.00","5,965.85","5,822.20","5,892.60","5,868.40","5,866.71","2,13,589","1,25,30,64,638.60","39,094","1,11,317","52.12"
"DIVISLAB","EQ","09-Jan-2025","5,868.40","5,861.70","5,905.55","5,811.75","5,815.00","5,824.55","5,840.12","98,271","57,39,14,282.75","19,447","47,815","48.66"
"DIVISLAB","EQ","10-Jan-2025","5,824.55","5,800.00","5,840.00","5,715.20","5,755.00","5,771.35","5,774.02","3,84,413","2,21,96,06,869.30","40,933","2,32,717","60.54"
"DIVISLAB","EQ","13-Jan-2025","5,771.35","5,824.00","5,887.50","5,654.35","5,745.85","5,732.50","5,783.35","7,70,897","4,45,83,66,832.20","77,930","4,34,868","56.41"
"DIVISLAB","EQ","14-Jan-2025","5,732.50","5,761.10","6,006.45","5,749.35","5,990.00","5,990.30","5,907.68","4,39,344","2,59,55,03,020.40","50,487","2,60,294","59.25"
"DIVISLAB","EQ","15-Jan-2025","5,990.30","6,000.35","6,000.40","5,768.50","5,830.30","5,876.85","5,857.89","4,83,267","2,83,09,25,167.60","60,970","2,62,969","54.41"
"DIVISLAB","EQ","16-Jan-2025","5,876.85","5,840.00","5,952.80","5,755.70","5,920.00","5,916.05","5,895.86","4,28,736","2,52,77,66,010.85","51,938","2,39,558","55.88"
"DIVISLAB","EQ","17-Jan-2025","5,916.05","5,930.50","5,938.85","5,871.70","5,907.00","5,916.05","5,902.36","1,77,031","1,04,49,01,358.05","25,723","1,03,581","58.51"
"DIVISLAB","EQ","20-Jan-2025","5,916.05","5,917.00","6,028.00","5,840.05","6,011.70","6,000.60","5,973.95","3,09,737","1,85,03,54,769.85","36,089","1,67,936","54.22"
"DIVISLAB","EQ","21-Jan-2025","6,000.60","6,011.70","6,068.05","5,806.30","5,816.20","5,818.90","5,905.79","4,37,884","2,58,60,50,556.65","58,729","2,34,156","53.47"
"DIVISLAB","EQ","22-Jan-2025","5,818.90","5,838.55","5,846.90","5,755.00","5,844.75","5,812.50","5,788.88","5,13,868","2,97,47,18,415.90","32,077","4,08,464","79.49"
